Companies listed on the New York Stock Exchange (A)


# Companies listed on the New York Stock Exchange (A)



## Companies listed on the New York Stock Exchange


## A

| Stock name | Symbol | Country of origin |
| Apollo Tactical Income Fund Inc. | AIF | US |
| Apple Hospitality REIT Inc. | APLE | US |
| Applied Industrial Technologies, Inc. | AIT | US |
| AptarGroup Inc. | ATR | US |
| Aqua America, Inc. | WTR | US |
| AquaBounty Technologies, Inc. | AQB | US |
| AquaVenture Holdings Ltd. | WAAS | British Virgin Islands |
| Aramark | ARMK | US |
| Arbor Realty Trust, Inc. | ABR | US |
| Arbor Realty Trust, Inc. | ABRN | US |
| Arbor Realty Trust, Inc. | ABR.PRA | US |
| Arbor Realty Trust, Inc. | ABR.PRB | US |
| Arbor Realty Trust, Inc. | ABR.PRC | US |
| ARC Document Solutions, Inc. | ARC | US |
| Arc Logistics Partners LP | ARCX | US |
| ArcelorMittal | MT | Luxembourg |
| Arch Capital Group Ltd. | ARH.PRC | Bermuda |
| Arch Coal Inc | ARCH | US |
| Archer Daniels Midland Co. | ADM | US |
| Archrock Inc. | AROC | US |
| Arconic Inc. | ARNC | US |
| Arconic Inc. | ARNC.PR | US |
| Arconic Inc. | ARNC.PRB | US |
| Arcos Dorados Holdings Inc. | ARCO | Uruguay |
| Ardmore Shipping Corporation | ASC | US |
| Ares Capital | ARU | US |
| Ares Commercial Real Estate Corporation | ACRE | US |
| Ares Dynamic Credit Allocation Fund, Inc. | ARDC | US |
| Ares Management, L.P. | ARES | US |
| Ares Management, L.P. | ARES.PRA | US |
| Ares Multi-Strategy Credit Fund, Inc. | ARMF | US |
| Argan, Inc. | AGX | US |
| Arista Networks | ANET | US |
| Arlington Asset Investment Corporation | AI | US |
| Arlington Asset Investment Corp. | AIW | US |
| Armada Hoffler Properties, Inc. | AHH | US |
| Armour Residential REIT, Inc. | ARR | US |
| Armour Residential REIT, Inc. | ARR.PRA | US |
| Armour Residential REIT, Inc. | ARR.PRB | US |
| Armstrong Flooring Inc. | AFI | US |
| Armstrong World Industries, Inc. | AWI | US |
| Arrow Electronics Inc | ARW | US |
| Arthur J.Gallagher & Co. | AJG | US |
| Artisan Partners Asset Management Inc. | APAM | US |
| ASA Gold and Precious Metals Limited | ASA | Bermuda |
| Asbury Automotive Group, Inc. | ABG | US |
| Ashford Hospitality Prime, Inc. | AHP | US |
| Ashford Hospitality Trust, Inc. | AHT | US |
| Ashford Hospitality Trust, Inc. | AHT.PRA | US |
| Ashford Hospitality Trust, Inc. | AHT.PRB | US |
| Ashford Hospitality Trust, Inc. | AHT.PRD | US |
| Ashford Hospitality Trust, Inc. | AHT.PRF | US |
| Ashford Hospitality Trust, Inc. | AHT.PRG | US |
| Ashland Inc. | ASH | US |
| The Asia Pacific Fund, Inc. | APB | US |
| The Asia Tigers Fund, Inc. | GRR | US |
| Aspen Aerogels, Inc. | ASPN | US |
| Aspen Insurance Holdings Limited | AHL | Bermuda |
| Aspen Insurance Holdings Limited | AHL.PRB | Bermuda |
| Aspen Insurance Holdings Limited | AHL.PRC | Bermuda |
| Aspen Insurance Holdings Limited | AHL.PRD | Bermuda |
| Associated Banc-Corp | ASB | US |
| Associated Banc-Corp | ASB.PRC | US |
| Associated Banc-Corp | ASB.PRD | US |
| Associated Capital Group Inc. | AC | US |
| Assurant, Inc. | AIZ | US |
| Assured Guaranty Ltd. | AGO | Bermuda |
| Assured Guaranty Municipal Holdings Inc. | AGO.PRB | Bermuda |
| Assured Guaranty Municipal Holdings Inc. | AGO.PRE | Bermuda |
| Assured Guaranty Municipal Holdings Inc. | AGO.PRF | Bermuda |
| Astoria Financial Corporation | AF | US |
| Astoria Financial Corporation | AF.PRC | US |
| AstraZeneca Group plc | AZN | United Kingdom |
| AT&T Inc. | T | US |
| At Home Group Inc. | HOME | US |
| Atento SA | ATTO | Luxembourg |
| Athene Holding Ltd. | ATH | Bermuda |
| Atkore International Group Inc. | ATKR | US |
| Atlantic Power Corporation | AT | Canada |
| Atmos Energy Corporation | ATO | US |
| AU Optronics Corp. | AUO | Taiwan |
| Audacy, Inc. | AUD | US |
| Autohome Inc. | ATHM | China |
| Autoliv Inc. | ALV | US |
| Autonation Inc | AN | US |
| AutoZone, Inc | AZO | US |
| AvalonBay Communities, Inc. | AVB | US |
| Avangrid Inc. | AGR | US |
| Avenue Income Credit Strategies Fund | ACP | US |
| Avery Dennison Corporation | AVY | US |
| Avianca Holdings S.A. | AVH | Panama |
| Avista Corporation | AVA | US |
| Avnet Inc | AVT | US |
| Avon Products, Inc. | AVP | United Kingdom |
| Avx Corporation | AVX | US |
| Axalta Coating Systems Ltd. | AXTA | US |
| Axis Capital Holdings Limited | AXS | Bermuda |
| Axis Capital Holdings Limited | AXS.PRC | Bermuda |
| Axis Capital Holdings Limited | AXS.PRD | Bermuda |
| Axis Capital Holdings Limited | AXS.PRE | Bermuda |
| Axovant Sciences Ltd. | AXON | Bermuda |
| Azure Power Global Ltd. | AZRE | India |
| AZZ incorporated | AZZ | US |

