List of countries by real GDP growth rate


# List of countries by real GDP growth rate



This article includes lists of countries and dependent territories sorted by their real gross domestic product growth rate; the rate of growth of the total value of all final goods and services produced within a state in a given year compared with the previous year. The figures are from the International Monetary Fund (IMF) World Economic Outlook Database, unless otherwise specified.

This list is not to be confused with the list of countries by real GDP per capita growth, which is the percentage change of GDP per person taking into account the changing population of the country. List of countries by GNI per capita growth measures changes in gross national income per capita.


## List (2024)

As referenced in the introductory paragraph, the figures in the following list are from the International Monetary Fund World Economic Outlook Database (2024) unless otherwise specified.


### Growth by countries and regions

| Country | Rate [%] |
| Uzbekistan | 5.6 |
| Vanuatu | 0.9 |
| Venezuela | 3.0 |
| Vietnam | 6.1 |
| Yemen | -1.0 |
| Zambia | 2.3 |
| Zimbabwe | 2.0 |


### Growth by regions

| Region | Rate |
| --- | --- |
| Africa | 3.2 |
| Asia and Oceania | 4.4 |
| Australia and New Zealand | 1.7 |
| Caribbean | 9.8 |
| Central America | 3.8 |
| Central Asia and the Caucasus | 4.1 |
| East Asia | 4.2 |
| Eastern Europe | 1.6 |
| Europe | 1.0 |
| Middle East | 1.6 |
| North Africa | 4.2 |
| North America | 2.1 |
| Pacific Islands | 4.2 |
| South America | 5.6 |
| South Asia | 5.4 |
| Southeast Asia | 4.2 |
| Sub-Saharan Africa | 2.7 |
| Western Europe | 0.7 |
| Western Hemisphere | 2.1 |
| ASEAN | 4.2 |
| Advanced economies | 1.5 |
| Emerging and Developing Asia | 5.2 |
| Emerging and Developing Europe | 2.4 |
| Emerging market and developing economies | 4.0 |
| Euro area | 0.7 |
| European Union | 0.7 |
| Latin America and the Caribbean | 3.4 |
| Major advanced economies (G7) | 1.5 |
| Middle East and Central Asia | 2.0 |
| Other advanced economies | 1.8 |
| Sub-Saharan Africa | 3.3 |
| **World** | 3.0 |


## List (2013–2023)

* Countries by yearly growth rate 2013–2023.

Real GDP growth rate (%)
| Country | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | Avg. |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Afghanistan | 5.683 | 2.697 | 0.988 | 2.164 | 2.647 | 1.189 | 3.912 | −2.351 | −14.542 | −6.240 | n/a | −0.385 |
| Albania | 1.002 | 1.774 | 2.219 | 3.315 | 3.802 | 4.019 | 2.088 | −3.302 | 8.909 | 4.884 | 3.297 | 2.906 |
| Algeria | 2.597 | 4.086 | 3.162 | 3.884 | 1.524 | 1.440 | 0.933 | −5.017 | 3.805 | 3.616 | 4.184 | 2.201 |
| Andorra | −3.548 | 2.504 | 1.434 | 3.710 | 0.346 | 1.589 | 2.016 | −11.184 | 8.287 | 9.565 | 2.275 | 1.545 |
| Angola | 4.955 | 4.823 | 0.944 | −2.580 | −0.150 | −1.316 | −0.702 | −5.638 | 1.199 | 3.045 | 0.470 | 0.459 |
| Antigua and Barbuda | −0.601 | 3.797 | 3.824 | 5.497 | 3.144 | 6.824 | 4.344 | −17.503 | 6.556 | 8.459 | 5.863 | 2.746 |
| Argentina | 2.405 | −2.513 | 2.731 | −2.080 | 2.818 | −2.617 | −2.001 | −9.900 | 10.718 | 4.956 | −1.569 | 0.268 |
| Armenia | 3.412 | 3.607 | 3.254 | 0.195 | 7.518 | 5.225 | 7.631 | −7.151 | 5.684 | 12.604 | 8.714 | 4.608 |
| Aruba | 6.431 | −1.587 | −0.264 | 1.720 | 7.049 | 2.382 | −2.303 | −23.983 | 27.639 | 10.458 | 5.300 | 2.953 |
| Australia | 2.232 | 2.586 | 2.349 | 2.720 | 2.420 | 2.849 | 1.815 | −2.129 | 5.554 | 3.811 | 2.063 | 2.388 |
| Austria | 0.026 | 0.661 | 1.015 | 1.989 | 2.259 | 2.425 | 1.451 | −6.633 | 4.238 | 4.806 | −0.746 | 1.045 |
| Azerbaijan | 5.843 | 2.768 | 1.080 | −3.064 | 0.154 | 1.470 | 2.480 | −4.199 | 5.616 | 4.577 | 1.100 | 1.620 |
| The Bahamas | −2.863 | 1.847 | 0.997 | −0.763 | 2.524 | 2.918 | −0.744 | −23.508 | 16.985 | 14.369 | 4.304 | 1.464 |
| Bahrain | 5.416 | 4.351 | 2.485 | 3.558 | 4.292 | 2.110 | 2.167 | −4.645 | 2.591 | 4.891 | 2.617 | 2.712 |
| Bangladesh | 6.014 | 6.061 | 6.553 | 7.114 | 6.590 | 7.319 | 7.882 | 3.448 | 6.939 | 7.100 | 6.025 | 6.459 |
| Barbados | −1.411 | −0.126 | 2.446 | 2.485 | −0.686 | −0.675 | 0.332 | −12.713 | −1.324 | 13.800 | 4.400 | 0.593 |
| Belarus | 0.962 | 1.686 | −3.830 | −2.536 | 2.541 | 3.138 | 1.446 | −0.673 | 2.439 | −4.698 | 3.882 | 0.396 |
| Belgium | 0.459 | 1.579 | 2.041 | 1.267 | 1.620 | 1.793 | 2.241 | −5.261 | 6.851 | 3.010 | 1.461 | 1.551 |
| Belize | 4.437 | 4.006 | 3.226 | −0.009 | −1.817 | 1.056 | 4.236 | −13.731 | 17.864 | 8.733 | 4.699 | 2.973 |
| Benin | 7.191 | 6.358 | 1.778 | 3.340 | 5.672 | 6.697 | 6.866 | 3.849 | 7.155 | 6.253 | 5.756 | 5.538 |
| Bhutan | 3.334 | 3.705 | 6.155 | 7.514 | 5.855 | 3.505 | 4.648 | −2.455 | −3.293 | 4.826 | 4.644 | 3.494 |
| Bolivia | 6.796 | 5.461 | 4.857 | 4.264 | 4.195 | 4.224 | 2.217 | −8.738 | 6.111 | 3.606 | 2.500 | 3.227 |
| Bosnia and Herzegovina | 2.351 | 1.148 | 4.314 | 3.242 | 3.244 | 3.829 | 2.886 | −3.015 | 7.392 | 4.227 | 1.800 | 2.856 |
| Botswana | 11.103 | 5.697 | −4.851 | 7.202 | 4.113 | 4.190 | 3.033 | −8.726 | 11.867 | 5.782 | 3.245 | 3.878 |
| Brazil | 3.005 | 0.504 | −3.546 | −3.276 | 1.323 | 1.784 | 1.221 | −3.277 | 4.763 | 3.017 | 2.908 | 0.766 |
| Brunei Darussalam | −2.125 | −2.508 | −0.405 | −2.465 | 1.329 | 0.052 | 3.869 | 1.134 | −1.591 | −1.628 | 1.407 | −0.266 |
| Bulgaria | −0.543 | 0.949 | 3.398 | 3.027 | 2.746 | 2.695 | 4.035 | −3.966 | 7.662 | 3.926 | 1.846 | 2.343 |
| Burkina Faso | 5.793 | 4.327 | 3.921 | 5.958 | 6.203 | 6.605 | 5.486 | 1.922 | 6.938 | 1.780 | 3.561 | 4.772 |
| Burundi | 4.924 | 4.241 | −3.900 | −0.600 | 0.500 | 1.610 | 1.842 | 0.335 | 3.119 | 1.827 | 2.659 | 1.505 |
| Cabo Verde | 0.632 | 0.697 | 0.936 | 4.281 | 4.551 | 3.707 | 6.948 | −20.805 | 5.615 | 17.117 | 4.792 | 2.588 |
| Cambodia | 7.857 | 8.000 | 7.207 | 7.906 | 8.075 | 8.776 | 7.937 | −3.556 | 3.090 | 5.103 | 4.988 | 5.945 |
| Cameroon | 4.987 | 5.779 | 5.600 | 4.479 | 3.541 | 4.022 | 3.422 | 0.539 | 3.649 | 3.595 | 3.969 | 3.962 |
| Canada | 2.326 | 2.873 | 0.650 | 1.039 | 3.034 | 2.743 | 1.908 | −5.038 | 5.287 | 3.820 | 1.066 | 1.792 |
| Central African Republic | −36.392 | 0.080 | 4.338 | 4.750 | 4.528 | 3.820 | 2.970 | 0.959 | 0.983 | 0.472 | 0.727 | −1.160 |
| Chad | 5.637 | 6.122 | 1.384 | −6.330 | −2.030 | 5.874 | 6.583 | −2.053 | −0.914 | 3.075 | 4.369 | 1.974 |
| Chile | 3.309 | 1.793 | 2.152 | 1.753 | 1.358 | 3.990 | 0.634 | −6.143 | 11.334 | 2.059 | 0.219 | 2.042 |
| China | 7.771 | 7.391 | 7.018 | 6.851 | 6.947 | 6.751 | 5.951 | 2.242 | 8.450 | 2.989 | 5.240 | 6.146 |
| Colombia | 5.134 | 4.499 | 2.956 | 2.088 | 1.359 | 2.564 | 3.187 | −7.186 | 10.801 | 7.289 | 0.612 | 3.028 |
| Comoros | 4.466 | 2.107 | 1.147 | 3.320 | 3.816 | 3.642 | 1.761 | −0.196 | 2.000 | 2.603 | 2.996 | 2.515 |
| Democratic Republic of the Congo | 9.624 | 7.302 | 6.360 | 0.394 | 3.658 | 4.825 | 4.485 | 1.671 | 6.037 | 8.774 | 6.140 | 5.388 |
| Republic of Congo | −0.712 | 6.717 | −3.551 | −4.994 | −5.595 | −2.304 | 1.124 | −6.268 | 1.057 | 1.750 | 4.033 | −0.795 |
| Costa Rica | 2.495 | 3.542 | 3.652 | 4.204 | 4.158 | 2.616 | 2.418 | −4.273 | 7.936 | 4.551 | 5.112 | 3.310 |
| Côte d'Ivoire | 9.272 | 8.794 | 8.843 | 7.172 | 7.412 | 4.842 | 6.721 | 0.701 | 7.062 | 6.862 | 6.200 | 6.716 |
| Croatia | −0.399 | −0.423 | 2.523 | 3.563 | 3.398 | 2.822 | 3.398 | −8.591 | 13.788 | 6.343 | 2.831 | 2.659 |
| Cyprus | −6.587 | −1.775 | 3.417 | 6.574 | 5.734 | 5.648 | 5.537 | −3.443 | 9.910 | 5.059 | 2.460 | 2.958 |
| Czech Republic | −0.046 | 2.262 | 5.388 | 2.537 | 5.169 | 3.220 | 3.030 | −5.503 | 3.553 | 2.328 | −0.405 | 1.958 |
| Denmark | 0.935 | 1.616 | 2.343 | 3.248 | 2.819 | 1.991 | 1.493 | −2.423 | 6.845 | 2.731 | 1.813 | 2.128 |
| Djibouti | 5.001 | 7.193 | 7.309 | 7.123 | 5.458 | 4.774 | 5.545 | 1.316 | 4.522 | 3.876 | 6.989 | 5.373 |
| Dominica | −1.000 | 4.754 | −2.732 | 2.764 | −6.619 | 3.548 | 5.502 | −16.605 | 6.892 | 5.648 | 4.726 | 0.625 |
| Dominican Republic | 4.875 | 7.050 | 6.927 | 6.659 | 4.667 | 6.983 | 5.052 | −6.720 | 12.272 | 4.858 | 2.409 | 5.003 |
| Ecuador | 7.211 | 4.226 | 0.120 | −0.688 | 5.970 | 1.044 | 0.165 | −9.245 | 9.818 | 6.186 | 2.284 | 2.463 |
| Egypt | 3.302 | 2.930 | 4.360 | 4.340 | 4.191 | 5.327 | 5.548 | 3.573 | 3.253 | 6.653 | 3.760 | 4.294 |
| El Salvador | 2.235 | 1.704 | 2.400 | 2.515 | 2.262 | 2.445 | 2.432 | −7.901 | 11.904 | 2.799 | 3.498 | 2.390 |
| Equatorial Guinea | −4.133 | 0.415 | −9.110 | −8.816 | −5.668 | −6.237 | −5.482 | −4.788 | −0.377 | 3.246 | −5.947 | −4.363 |
| Eritrea | −10.456 | 30.934 | −20.621 | 7.391 | −10.015 | 13.032 | 3.836 | n/a | n/a | n/a | n/a | 2.014 |
| Estonia | 1.458 | 3.011 | 1.853 | 3.155 | 5.792 | 3.784 | 4.034 | −0.965 | 7.249 | −0.461 | −3.006 | 2.355 |
| Eswatini | 3.861 | 0.923 | 2.227 | 1.063 | 2.027 | 2.380 | 2.692 | −1.560 | 10.683 | 0.476 | 5.133 | 2.719 |
| Ethiopia | 9.900 | 10.300 | 10.400 | 8.000 | 10.210 | 7.703 | 9.037 | 6.057 | 6.265 | 6.358 | 7.176 | 8.310 |
| Fiji | 4.734 | 5.604 | 4.501 | 2.446 | 5.353 | 3.812 | −0.581 | −17.040 | −4.881 | 20.016 | 8.045 | 2.910 |
| Finland | −0.902 | −0.365 | 0.544 | 2.811 | 3.192 | 1.140 | 1.224 | −2.355 | 2.838 | 1.335 | −0.957 | 0.773 |
| France | 0.576 | 0.956 | 1.113 | 1.095 | 2.291 | 1.865 | 1.843 | −7.540 | 6.321 | 2.526 | 0.869 | 1.083 |
| Gabon | 5.517 | 4.435 | 3.879 | 2.091 | 0.473 | 0.909 | 3.823 | −1.815 | 1.468 | 3.037 | 2.266 | 2.371 |
| The Gambia | 2.873 | −1.407 | 4.058 | 1.943 | 4.823 | 7.235 | 6.222 | 0.591 | 5.256 | 4.905 | 5.555 | 3.823 |
| Georgia | 5.134 | 4.091 | 3.351 | 3.450 | 5.161 | 6.062 | 5.380 | −6.291 | 10.644 | 10.960 | 7.474 | 5.038 |
| Germany | 0.432 | 2.217 | 1.487 | 2.230 | 2.680 | 0.984 | 1.071 | −3.829 | 3.169 | 1.804 | −0.305 | 1.085 |
| Ghana | 7.242 | 2.856 | 2.121 | 3.373 | 8.129 | 6.200 | 6.508 | 0.514 | 5.076 | 3.078 | 2.259 | 4.305 |
| Greece | −2.516 | 0.476 | −0.196 | −0.487 | 1.092 | 1.668 | 1.880 | −9.316 | 8.380 | 5.557 | 2.011 | 0.777 |
| Grenada | 2.351 | 7.342 | 6.445 | 3.740 | 4.439 | 4.361 | 0.677 | −13.757 | 4.687 | 7.321 | 4.791 | 2.945 |
| Guatemala | 3.695 | 4.444 | 4.092 | 2.678 | 3.080 | 3.407 | 4.018 | −1.792 | 8.002 | 4.118 | 3.474 | 3.565 |
| Guinea | 3.946 | 3.697 | 3.826 | 10.821 | 10.300 | 6.358 | 5.617 | 4.709 | 5.583 | 3.972 | 5.700 | 5.866 |
| Guinea-Bissau | 3.256 | 0.965 | 6.134 | 5.307 | 4.789 | 3.761 | 4.500 | 1.500 | 6.400 | 4.200 | 4.200 | 4.092 |
| Guyana | 3.653 | 1.686 | 0.687 | 3.807 | 3.734 | 4.441 | 5.353 | 43.480 | 20.060 | 62.288 | 32.963 | 16.559 |
| Haiti | 4.325 | 1.723 | 2.563 | 1.812 | 2.510 | 1.668 | −1.685 | −3.343 | −1.798 | −1.682 | −1.864 | 0.384 |
| Honduras | 2.792 | 3.058 | 3.840 | 3.893 | 4.843 | 3.845 | 2.653 | −8.965 | 12.534 | 3.998 | 3.500 | 3.272 |
| Hong Kong SAR | 3.102 | 2.762 | 2.388 | 2.175 | 3.796 | 2.847 | −1.672 | −6.545 | 6.454 | −3.681 | 3.215 | 1.349 |
| Hungary | 1.803 | 4.232 | 3.707 | 2.201 | 4.272 | 5.363 | 4.864 | −4.563 | 7.086 | 4.555 | −0.908 | 2.976 |
| Iceland | 4.552 | 1.687 | 4.437 | 6.304 | 4.195 | 4.889 | 1.861 | −6.940 | 5.149 | 8.881 | 4.064 | 3.553 |
| India | 6.386 | 7.410 | 7.996 | 8.256 | 6.795 | 6.454 | 3.871 | −5.778 | 9.690 | 6.987 | 7.827 | 5.990 |
| Indonesia | 5.557 | 5.007 | 4.876 | 5.033 | 5.070 | 5.174 | 5.019 | −2.066 | 3.703 | 5.307 | 5.048 | 4.339 |
| Iran | −1.522 | 4.985 | −1.425 | 8.815 | 2.759 | −1.838 | −3.071 | 3.330 | 4.720 | 3.777 | 4.709 | 2.294 |
| Iraq | 7.628 | 0.738 | 2.537 | 15.199 | −3.399 | 4.703 | 5.368 | −12.055 | 1.580 | 6.983 | −2.176 | 2.464 |
| Ireland | 1.175 | 8.829 | 24.475 | 1.766 | 9.311 | 8.471 | 5.298 | 6.617 | 15.125 | 9.433 | −3.199 | 7.936 |
| Israel | 4.231 | 3.885 | 2.314 | 4.367 | 4.273 | 4.075 | 3.785 | −1.465 | 9.344 | 6.470 | 2.003 | 3.935 |
| Italy | −1.841 | −0.005 | 0.778 | 1.293 | 1.668 | 0.926 | 0.483 | −8.974 | 8.310 | 3.986 | 0.921 | 0.686 |
| Jamaica | 0.224 | 0.575 | 0.869 | 1.498 | 0.679 | 1.827 | 0.970 | −9.920 | 4.601 | 5.222 | 2.200 | 0.795 |
| Japan | 2.005 | 0.296 | 1.561 | 0.754 | 1.675 | 0.643 | −0.402 | −4.147 | 2.559 | 0.957 | 1.923 | 0.711 |
| Jordan | 2.610 | 3.384 | 2.497 | 1.994 | 2.474 | 1.919 | 1.751 | −1.103 | 3.656 | 2.428 | 2.600 | 2.201 |
| Kazakhstan | 5.899 | 4.300 | 1.000 | 0.900 | 3.901 | 4.100 | 4.500 | −2.600 | 4.100 | 3.299 | 5.101 | 3.136 |
| Kenya | 3.798 | 5.020 | 4.968 | 4.214 | 3.816 | 5.671 | 5.114 | −0.273 | 7.590 | 4.847 | 5.507 | 4.570 |
| Kiribati | 7.731 | 1.264 | 11.265 | 7.088 | 3.749 | 3.479 | 3.264 | −0.562 | 8.523 | 3.905 | 4.154 | 4.896 |
| Korea | 3.165 | 3.202 | 2.809 | 2.947 | 3.160 | 2.907 | 2.244 | −0.709 | 4.305 | 2.613 | 1.357 | 2.545 |
| Kosovo | 5.340 | 3.349 | 5.916 | 5.572 | 4.825 | 3.406 | 4.757 | −5.341 | 10.746 | 4.278 | 3.300 | 4.195 |
| Kuwait | 1.149 | 0.501 | 0.593 | 2.926 | −4.712 | 2.434 | 1.328 | −5.274 | 1.698 | 6.138 | −2.231 | 0.419 |
| Kyrgyz Republic | 10.915 | 4.024 | 3.876 | 4.336 | 4.740 | 3.459 | 4.601 | −7.149 | 5.507 | 6.332 | 4.196 | 4.076 |
| Lao P.D.R. | 8.026 | 7.612 | 7.270 | 7.023 | 6.851 | 6.289 | 4.652 | −0.435 | 2.061 | 2.252 | 3.697 | 5.027 |
| Latvia | 2.008 | 1.902 | 3.885 | 2.369 | 3.312 | 3.991 | 0.588 | −3.514 | 6.732 | 2.955 | −0.306 | 2.157 |
| Lebanon | 3.828 | 2.485 | 0.461 | 1.556 | 0.903 | −1.885 | −6.915 | −25.907 | −10.000 | n/a | n/a | −3.942 |
| Lesotho | 1.772 | 2.068 | 3.248 | 1.887 | −2.734 | −1.510 | −3.058 | −5.303 | 1.700 | 1.600 | 1.877 | 0.140 |
| Liberia | 8.836 | 0.695 | 0.007 | −1.630 | 2.469 | 1.242 | −2.516 | −2.967 | 5.011 | 4.811 | 4.583 | 1.867 |
| Libya | −17.998 | −23.043 | −0.843 | −1.493 | 32.492 | 7.941 | −11.196 | −29.456 | 28.335 | −8.252 | 10.156 | −1.214 |
| Lithuania | 3.550 | 3.537 | 2.025 | 2.519 | 4.283 | 3.993 | 4.666 | −0.025 | 6.285 | 2.440 | −0.343 | 2.994 |
| Luxembourg | 3.172 | 2.623 | 2.269 | 4.978 | 1.317 | 1.219 | 2.916 | −0.910 | 7.169 | 1.380 | −1.095 | 2.276 |
| Macau SAR | 10.753 | −2.048 | −21.515 | −0.679 | 9.860 | 6.405 | −2.563 | −54.336 | 23.535 | −21.402 | 80.534 | 2.595 |
| Madagascar | 2.300 | 3.339 | 3.132 | 3.993 | 3.933 | 3.194 | 4.411 | −7.138 | 5.740 | 4.000 | 3.800 | 2.791 |
| Malawi | 5.200 | 5.700 | 2.950 | 2.270 | 4.000 | 4.392 | 5.448 | 0.913 | 4.567 | 0.800 | 1.600 | 3.440 |
| Malaysia | 4.694 | 6.007 | 5.007 | 4.450 | 5.813 | 4.843 | 4.413 | −5.457 | 3.298 | 8.650 | 3.680 | 4.127 |
| Maldives | 6.963 | 7.801 | 3.972 | 6.572 | 7.055 | 8.668 | 7.298 | −32.909 | 37.687 | 13.907 | 4.424 | 6.494 |
| Mali | 2.295 | 7.085 | 6.172 | 5.852 | 5.305 | 4.746 | 4.765 | −1.244 | 3.053 | 3.475 | 4.500 | 4.182 |
| Malta | 5.473 | 7.634 | 9.608 | 3.381 | 10.869 | 7.416 | 7.124 | −8.157 | 12.514 | 8.076 | 5.614 | 6.323 |
| Marshall Islands | 3.610 | −1.158 | 2.101 | 2.144 | 3.734 | 5.659 | 10.358 | −2.846 | 1.112 | −0.676 | 3.000 | 2.458 |
| Mauritania | 4.151 | 4.275 | 5.376 | 1.261 | 6.271 | 4.773 | 3.146 | −0.429 | 0.737 | 6.364 | 4.811 | 3.703 |
| Mauritius | 3.360 | 3.827 | 3.691 | 3.862 | 3.938 | 4.007 | 2.891 | −14.547 | 3.404 | 8.881 | 6.870 | 2.744 |
| Mexico | 0.852 | 2.504 | 2.702 | 1.772 | 1.872 | 1.972 | −0.251 | −8.625 | 5.739 | 3.949 | 3.229 | 1.429 |
| Micronesia | −3.676 | −2.586 | 4.434 | 0.943 | 2.255 | 0.064 | 3.820 | −1.870 | 3.013 | −0.864 | 0.766 | 0.573 |
| Moldova | 9.044 | 5.000 | −0.338 | 4.409 | 4.200 | 4.100 | 3.600 | −8.300 | 13.900 | −4.982 | 1.032 | 2.879 |
| Mongolia | 11.649 | 7.885 | 2.410 | 1.490 | 5.637 | 7.745 | 5.602 | −4.558 | 1.637 | 5.033 | 7.023 | 4.687 |
| Montenegro | 3.549 | 1.784 | 3.390 | 2.949 | 4.716 | 5.078 | 4.063 | −15.307 | 13.043 | 6.407 | 6.000 | 3.243 |
| Morocco | 4.535 | 2.669 | 4.345 | 0.521 | 5.058 | 3.066 | 2.891 | −7.178 | 8.021 | 1.259 | 3.017 | 2.564 |
| Mozambique | 6.571 | 7.703 | 7.393 | 4.697 | 2.638 | 3.485 | 2.318 | −1.220 | 2.377 | 4.360 | 6.013 | 4.212 |
| Myanmar | 7.899 | 8.200 | 7.473 | 6.408 | 5.750 | 6.405 | 6.750 | −1.200 | −10.486 | −3.965 | 2.546 | 3.253 |
| Namibia | 5.615 | 6.093 | 4.264 | 0.034 | −1.027 | 1.060 | −0.839 | −8.101 | 3.525 | 4.560 | 3.154 | 1.667 |
| Nauru | 3.648 | 16.423 | 2.698 | 4.363 | −6.011 | −1.219 | 8.407 | 1.982 | 7.207 | 2.841 | 0.596 | 3.729 |
| Nepal | 3.525 | 6.011 | 3.976 | 0.433 | 8.977 | 7.622 | 6.657 | −2.370 | 4.838 | 5.613 | 0.832 | 4.192 |
| Netherlands | −0.127 | 1.424 | 1.958 | 2.192 | 2.911 | 2.361 | 1.955 | −3.885 | 6.192 | 4.326 | 0.093 | 1.764 |
| New Zealand | 2.319 | 3.766 | 3.636 | 3.945 | 3.346 | 3.497 | 3.079 | −1.370 | 5.628 | 2.384 | 0.633 | 2.806 |
