List of Kansas locations by per capita income


# List of Kansas locations by per capita income



| This article is part of a series on |
| --- |
| Income in theUnited States of America |
| Topics * Household * Personal * Affluence * Social class * Income inequality + gender pay gap + racial pay gap |
| Lists by income * States (by inequality) * Counties (highest / lowest) * Locations (lowest) * Metropolitan statistical areas * Urban areas * ZIP Code Tabulation Areas * Ethnic groups |
| United States portal |
| * v * t * e |

Kansas has the 26th highest per capita income in the United States, at $20,506 (2000). Its personal per capita income is $29,935 (2003).


## Kansas counties ranked by per capita income

Note: Data is from the 2010 United States Census Data and the 2006-2010 American Community Survey 5-Year Estimates.

| Rank | County | Per capita income | Median household income | Median family income | Population | Number of households |
| 73 | Marion | $21,166 | $45,713 | $55,861 | 12,660 | 5,005 |
| 74 | Montgomery | $21,037 | $40,603 | $51,264 | 35,471 | 14,382 |
| 75 | Labette | $21,021 | $39,049 | $48,924 | 21,607 | 8,822 |
| 76 | Atchison | $20,995 | $44,175 | $52,908 | 16,924 | 6,241 |
| 77 | Finney | $20,976 | $50,454 | $56,747 | 36,776 | 12,359 |
| 78 | Elk | $20,958 | $33,455 | $40,463 | 2,882 | 1,284 |
| 79 | Kearny | $20,888 | $46,435 | $50,029 | 3,977 | 1,400 |
| 80 | Hodgeman | $20,859 | $41,127 | $54,688 | 1,916 | 803 |
| 81 | Cowley | $20,720 | $40,749 | $51,655 | 36,311 | 13,940 |
| 82 | Geary | $20,709 | $45,559 | $50,195 | 34,362 | 12,690 |
| 83 | Washington | $20,577 | $39,698 | $51,673 | 5,799 | 2,474 |
| 84 | Anderson | $20,558 | $40,428 | $47,018 | 8,102 | 3,260 |
| 85 | Wichita | $20,375 | $44,318 | $50,492 | 2,234 | 891 |
| 86 | Allen | $20,195 | $41,546 | $51,855 | 13,371 | 5,475 |
| 87 | Hamilton | $20,190 | $36,297 | $37,813 | 2,690 | 1,060 |
| 88 | Cherokee | $20,075 | $38,154 | $48,319 | 21,603 | 8,625 |
| 89 | Riley | $19,999 | $39,257 | $56,683 | 71,115 | 25,796 |
| 90 | Crawford | $19,753 | $35,286 | $49,297 | 39,134 | 15,729 |
| 91 | Brown | $19,555 | $37,525 | $46,646 | 9,984 | 4,094 |
| 92 | Cheyenne | $19,460 | $31,186 | $47,386 | 2,726 | 1,260 |
| 93 | Kiowa | $19,430 | $37,292 | $44,222 | 2,553 | 1,014 |
| 94 | Ford | $19,348 | $46,621 | $52,211 | 33,848 | 11,145 |
| 95 | Rice | $19,316 | $43,164 | $51,011 | 10,083 | 3,906 |
| 96 | Stanton | $19,196 | $49,612 | $51,520 | 2,235 | 825 |
| 97 | Norton | $19,080 | $32,016 | $56,773 | 5,671 | 2,163 |
| 98 | Wyandotte | $18,827 | $38,503 | $47,653 | 157,505 | 58,399 |
| 99 | Wilson | $18,708 | $39,301 | $48,207 | 9,409 | 3,933 |
| 100 | Cloud | $18,690 | $35,838 | $44,679 | 9,533 | 3,910 |
| 101 | Neosho | $18,683 | $36,702 | $48,652 | 16,512 | 6,645 |
| 102 | Bourbon | $18,596 | $38,045 | $48,003 | 15,173 | 5,986 |
| 103 | Lyon | $18,245 | $36,921 | $48,766 | 33,690 | 13,303 |
| 104 | Seward | $18,083 | $41,373 | $46,434 | 22,952 | 7,460 |
| 105 | Pawnee | $17,927 | $40,048 | $48,364 | 6,973 | 2,665 |

